Program,Description,Parameters,Avg Time (s),User CPU (s),System CPU (s),Memory (KB),Std Dev (s),Min Time (s),Max Time (s),Variance (s²),Notes
"delannoy_gcc_-O0","Delannoy number calculation","13","4.500000","4.490000","1.000e-10","3618.666666667","0.0435890","4.470000","4.550000","0.0019000","Target precision of 0.05 reached after 3 runs, Cache cleared"
"delannoy_gcc_-O1","Delannoy number calculation","13","3.610000","3.603333","1.000e-10","3602.666666667","0.0100000","3.600000","3.620000","1.000e-04","Target precision of 0.05 reached after 3 runs, Cache cleared"
"delannoy_gcc_-O2","Delannoy number calculation","13","0.580000","0.573333","1.000e-10","3609.333333333","0.0100000","0.570000","0.590000","1.000e-04","Target precision of 0.05 reached after 3 runs, Cache cleared"
"delannoy_gcc_-O3","Delannoy number calculation","13","0.616667","0.613333","1.000e-10","3636.000000000","0.0057735","0.610000","0.620000","3.333e-05","Target precision of 0.05 reached after 3 runs, Cache cleared"
"delannoy_gcc_-Os","Delannoy number calculation","13","3.480000","3.473333","1.000e-10","3613.333333333","0.0173205","3.460000","3.490000","3.000e-04","Target precision of 0.05 reached after 3 runs, Cache cleared"
"delannoy_gcc_-Ofast","Delannoy number calculation","13","0.620000","0.616667","1.000e-10","3642.666666667","1.100e-08","0.620000","0.620000","1.000e-10","Target precision of 0.05 reached after 3 runs, Cache cleared"
"nbody_gcc_-O0","N-body simulation","","7.806667","7.800000","1.000e-10","3593.333333333","0.0351188","7.770000","7.840000","0.0012333","Target precision of 0.05 reached after 3 runs, Cache cleared"
"nbody_gcc_-O1","N-body simulation","","2.143333","2.133333","1.000e-10","3646.666666667","0.0208167","2.120000","2.160000","4.333e-04","Target precision of 0.05 reached after 3 runs, Cache cleared"
"nbody_gcc_-O2","N-body simulation","","2.056667","2.050000","1.000e-10","3617.333333333","0.0115470","2.050000","2.070000","1.333e-04","Target precision of 0.05 reached after 3 runs, Cache cleared"
"nbody_gcc_-O3","N-body simulation","","2.033333","2.030000","1.000e-10","3626.666666667","0.0115470","2.020000","2.040000","1.333e-04","Target precision of 0.05 reached after 3 runs, Cache cleared"
